"","clust_ID","clust_freq"
"136","Prim1 Cluster_seaview resort",3
"137","Prim1 Cluster_work_serv_res_117",2
"138","Prim1 Cluster_work_serv_res_119",2
"139","Prim1 Cluster_work_serv_res_114",2
"140","Prim1 Cluster_work_serv_res_113_duck",7
"141","Prim1 Cluster_work_serv_res_131",2
"142","Prim1 Cluster_work_serv_res_149",2
"143","Prim1 Cluster_work_serv_res_151",2
"144","Prim1 Cluster_work_serv_res_155",2
"145","Prim1 Cluster_work_serv_res_158",4
"146","Prim1 Cluster_work_serv_res_161",4
"147","Prim1 Cluster_work_serv_res_169",3
"148","Prim1 Cluster_work_sev_res_186",2
"149","Prim1 Cluster_work_serv_res_201",3
"150","Prim2 Cluster_work_serv_res_KinWing",4
"151","Prim2 Cluster_work_serv_res_cafedecoral_colleague",2
"152","Prim2 Cluster_work_serv_res_82",2
"153","Prim2 Cluster_work_serv_res_57",2
"154","Prim2 Cluster_work_serv_res_129",2
"155","Prim2 Cluster_work_serv_res_162",2
"156","Prim2 Cluster_work_serv_res_143",2
"157","Prim2 Cluster_work_serv_res_154",2
"158","Prim2 Cluster_work_serv_res_157",3
"159","Prim2 Cluster_work_serv_res_192",2
"160","Prim2 Cluster_work_serv_res_191",2
"161","Prim2 Cluster_work_serv_res_199",2
"162","Prim3 Cluster_work_serv_res_116",2
"163","Sec1 Cluster_sec_work_serv_res_005",2
"164","Sec1 Cluster_sec_work_serv_res_010",5
"165","Sec1 Cluster_sec_work_serv_res_029",2
"166","Sec1 Cluster_sec_work_serv_res_035",2
"167","Sec1 Cluster_sec_work_serv_res_055",2
"168","Sec1 Cluster_sec_work_serv_res_064",2
"169","Sec1 Cluster_sec_work_serv_res_071",2
"170","Sec1 Cluster_sec_work_serv_res_072",2
"171","Sec2 Cluster_sec_work_serv_res_056",2
"172","Tert Cluster_tert_work_serv_res_06",3
"173","Tert Cluster_tert_work_serv_res_07",2
"174","Tert Cluster_tert_work_serv_res_08",2
"175","Prim1 Cluster_SocialGather_wedding_01",10
"176","Prim1 Cluster_SocialGather_BirthdayParty_01",2
"177","Prim2 Cluster_SocialGather_MK_grandplaza_9 Jul",28
"178","Sec1 Cluster_sec_SocialGather_wedding_01",5
