"","clust_ID","clust_freq"
"160","Prim1 Cluster_fam_280",2
"161","Prim1 Cluster_fam_468",2
"162","Prim1 Cluster_fam_416",3
"163","Prim1 Cluster_fam_231",3
"164","Prim1 Cluster_fam_289",4
"165","Prim1 Cluster_fam_446",2
"166","Prim1 Cluster_fam_216",4
"167","Prim1 Cluster_fam_261",2
"168","Prim1 Cluster_fam_318",2
"169","Prim1 Cluster_fam_256",8
"170","Prim1 Cluster_fam_352",2
"171","Prim1 Cluster_fam_319",2
"172","Prim1 Cluster_fam_239",2
"173","Prim1 Cluster_fam_224",3
"174","Prim1 Cluster_fam_332",2
"175","Prim1 Cluster_fam_253",6
"176","Prim1 Cluster_fam_232",3
"177","Prim1 Cluster_fam_299",3
"178","Prim1 Cluster_fam_251",5
"179","Prim1 Cluster_fam_298",3
"180","Prim1 Cluster_fam_263",4
"181","Prim1 Cluster_fam_303",2
"182","Prim1 Cluster_fam_391",2
"183","Prim1 Cluster_fam_340",2
"184","Prim1 Cluster_fam_417",2
"185","Prim1 Cluster_fam_244",6
"186","Prim1 Cluster_fam_355",2
"187","Prim1 Cluster_fam_302",4
"188","Prim1 Cluster_fam_301",2
"189","Prim1 Cluster_fam_322",2
"190","Prim1 Cluster_fam_230",2
"191","Prim1 Cluster_fam_307",4
"192","Prim1 Cluster_fam_320",2
"193","Prim1 Cluster_fam_234",2
"194","Prim1 Cluster_fam_237",3
"195","Prim1 Cluster_fam_357",4
"196","Prim1 Cluster_fam_380",2
"197","Prim1 Cluster_fam_304",3
"198","Prim1 Cluster_fam_262",3
"199","Prim1 Cluster_fam_283",2
"200","Prim1 Cluster_fam_258",3
"201","Prim1 Cluster_fam_241",2
"202","Prim1 Cluster_fam_245",2
"203","Prim1 Cluster_fam_252",2
"204","Prim1 Cluster_fam_246",5
"205","Prim1 Cluster_fam_353",2
"206","Prim1 Cluster_fam_376",2
"207","Prim1 Cluster_fam_300",4
"208","Prim1 Cluster_fam_403",2
"209","Prim1 Cluster_fam_271",4
"210","Prim1 Cluster_fam_666",2
"211","Prim1 Cluster_fam_270",4
"212","Prim1 Cluster_fam_254",2
"213","Prim1 Cluster_fam_382",3
"214","Prim1 Cluster_fam_430",2
"215","Prim1 Cluster_fam_257",2
"216","Prim1 Cluster_fam_351",3
"217","Prim1 Cluster_fam_293",2
"218","Prim1 Cluster_fam_356",2
"219","Prim1 Cluster_fam_277",3
"220","Prim1 Cluster_fam_276",3
"221","Prim1 Cluster_fam_306",2
"222","Prim1 Cluster_fam_342",5
"223","Prim1 Cluster_fam_278",4
"224","Prim1 Cluster_fam_328",4
"225","Prim1 Cluster_fam_281",4
"226","Prim1 Cluster_fam_366",3
"227","Prim1 Cluster_fam_414",2
"228","Prim1 Cluster_fam_349",2
"229","Prim1 Cluster_fam_285",2
"230","Prim1 Cluster_fam_308",2
"231","Prim1 Cluster_fam_282",3
"232","Prim1 Cluster_fam_375",8
"233","Prim1 Cluster_fam_286",7
"234","Prim1 Cluster_fam_287",3
"235","Prim1 Cluster_fam_311",2
"236","Prim1 Cluster_fam_358",2
"237","Prim1 Cluster_fam_399",2
"238","Prim1 Cluster_fam_651",3
"239","Prim1 Cluster_fam_329",2
"240","Prim1 Cluster_fam_384",2
"241","Prim1 Cluster_fam_330",5
"242","Prim1 Cluster_fam_426",2
"243","Prim1 Cluster_fam_383",3
"244","Prim1 Cluster_fam_296",2
"245","Prim1 Cluster_fam_345",4
"246","Prim1 Cluster_fam_337",3
"247","Prim1 Cluster_fam_333",4
"248","Prim1 Cluster_fam_347",4
"249","Prim1 Cluster_fam_310",5
"250","Prim1 Cluster_fam_448",2
"251","Prim1 Cluster_fam_484",2
"252","Prim1 Cluster_fam_464",3
"253","Prim1 Cluster_fam_327",3
"254","Prim1 Cluster_fam_334",2
"255","Prim1 Cluster_fam_422",3
"256","Prim1 Cluster_fam_377",2
"257","Prim1 Cluster_fam_335",2
"258","Prim1 Cluster_fam_326",3
"259","Prim1 Cluster_fam_365",5
"260","Prim1 Cluster_fam_344",9
"261","Prim1 Cluster_fam_321",2
"262","Prim1 Cluster_fam_368",3
"263","Prim1 Cluster_fam_379",4
"264","Prim1 Cluster_fam_323",2
"265","Prim1 Cluster_fam_372",5
"266","Prim1 Cluster_fam_346",3
"267","Prim1 Cluster_fam_371",2
"268","Prim1 Cluster_fam_324",2
"269","Prim1 Cluster_fam_523",4
"270","Prim1 Cluster_fam_343",8
"271","Prim1 Cluster_fam_336",2
"272","Prim1 Cluster_fam_331",2
"273","Prim1 Cluster_fam_363",3
"274","Prim1 Cluster_fam_350",2
"275","Prim1 Cluster_fam_479",2
"276","Prim1 Cluster_fam_429",3
"277","Prim1 Cluster_fam_413",3
"278","Prim1 Cluster_fam_407",2
"279","Prim1 Cluster_fam_389",4
"280","Prim1 Cluster_fam_647",3
"281","Prim1 Cluster_fam_450",2
"282","Prim1 Cluster_fam_370",4
"283","Prim1 Cluster_fam_393",4
"284","Prim1 Cluster_fam_369",3
"285","Prim1 Cluster_fam_449",2
"286","Prim1 Cluster_fam_535",3
"287","Prim1 Cluster_fam_360",2
"288","Prim1 Cluster_fam_385",2
"289","Prim1 Cluster_fam_374",3
"290","Prim1 Cluster_fam_531",2
"291","Prim1 Cluster_fam_387",4
"292","Prim1 Cluster_fam_398",3
"293","Prim1 Cluster_fam_390",2
"294","Prim1 Cluster_fam_423",2
"295","Prim1 Cluster_fam_396",2
"296","Prim1 Cluster_fam_406",2
"297","Prim1 Cluster_fam_362",2
"298","Prim1 Cluster_fam_415",2
"299","Prim1 Cluster_fam_388",2
"300","Prim1 Cluster_fam_466",2
"301","Prim1 Cluster_fam_465",2
"302","Prim1 Cluster_fam_405",2
"303","Prim1 Cluster_fam_436",2
"304","Prim1 Cluster_fam_359",2
"305","Prim1 Cluster_fam_646",5
"306","Prim1 Cluster_fam_395",2
"307","Prim1 Cluster_fam_457",5
"308","Prim1 Cluster_fam_397",2
"309","Prim1 Cluster_fam_364",2
"310","Prim1 Cluster_fam_394",2
"311","Prim1 Cluster_fam_367",4
"312","Prim1 Cluster_fam_455",4
"313","Prim1 Cluster_fam_373",2
"314","Prim1 Cluster_fam_454",2
"315","Prim1 Cluster_fam_378",2
"316","Prim1 Cluster_fam_424",4
"317","Prim1 Cluster_fam_456",4
"318","Prim1 Cluster_fam_445",2
"319","Prim1 Cluster_fam_401",2
"320","Prim1 Cluster_fam_440",4
"321","Prim1 Cluster_fam_453",3
"322","Prim1 Cluster_fam_400",3
"323","Prim1 Cluster_fam_480",8
"324","Prim1 Cluster_fam_419",4
"325","Prim1 Cluster_fam_437",6
"326","Prim1 Cluster_fam_386",4
"327","Prim1 Cluster_fam_442",4
"328","Prim1 Cluster_fam_410",4
"329","Prim1 Cluster_fam_428",2
"330","Prim1 Cluster_fam_427",2
"331","Prim1 Cluster_fam_444",2
"332","Prim1 Cluster_fam_432",3
"333","Prim1 Cluster_fam_420",2
"334","Prim1 Cluster_fam_421",4
"335","Prim1 Cluster_fam_438",2
"336","Prim1 Cluster_fam_486",5
"337","Prim1 Cluster_fam_451",2
"338","Prim1 Cluster_fam_435",3
"339","Prim1 Cluster_fam_409",2
"340","Prim1 Cluster_fam_411",5
"341","Prim1 Cluster_fam_487",2
"342","Prim1 Cluster_fam_441",6
"343","Prim1 Cluster_fam_489",4
"344","Prim1 Cluster_fam_431",9
"345","Prim1 Cluster_fam_481",3
"346","Prim1 Cluster_fam_439",2
"347","Prim1 Cluster_fam_469",2
"348","Prim1 Cluster_fam_470",2
"349","Prim1 Cluster_fam_462",3
"350","Prim1 Cluster_fam_477",2
"351","Prim1 Cluster_fam_490",2
"352","Prim1 Cluster_fam_509",2
"353","Prim1 Cluster_fam_474",2
"354","Prim1 Cluster_fam_458",2
"355","Prim1 Cluster_fam_510",4
"356","Prim1 Cluster_fam_542",2
"357","Prim1 Cluster_fam_471",2
"358","Prim1 Cluster_fam_506",4
"359","Prim1 Cluster_fam_476",2
"360","Prim1 Cluster_fam_461",5
"361","Prim1 Cluster_fam_463",8
"362","Prim1 Cluster_fam_485",2
"363","Prim1 Cluster_fam_473",2
"364","Prim1 Cluster_fam_496",4
"365","Prim1 Cluster_fam_472",3
"366","Prim1 Cluster_fam_501",2
"367","Prim1 Cluster_fam_491",2
"368","Prim1 Cluster_fam_552",2
"369","Prim1 Cluster_fam_539",2
"370","Prim1 Cluster_fam_511",4
"371","Prim1 Cluster_fam_495",2
"372","Prim1 Cluster_fam_532",2
"373","Prim1 Cluster_fam_534",2
"374","Prim1 Cluster_fam_494",3
"375","Prim1 Cluster_fam_643",2
"376","Prim1 Cluster_fam_505",2
"377","Prim1 Cluster_fam_533",2
"378","Prim1 Cluster_fam_498",2
"379","Prim1 Cluster_fam_652",2
"380","Prim1 Cluster_fam_488",6
"381","Prim1 Cluster_fam_645",2
"382","Prim1 Cluster_fam_515",2
"383","Prim1 Cluster_fam_519",2
"384","Prim1 Cluster_fam_536",3
"385","Prim1 Cluster_fam_493",3
"386","Prim1 Cluster_fam_516",2
"387","Prim1 Cluster_fam_538",2
"388","Prim1 Cluster_fam_497",4
"389","Prim1 Cluster_fam_527",4
"390","Prim1 Cluster_fam_517",2
