"","clustsize","category"
"266",3,"All clusters"
"267",2,"All clusters"
"268",2,"All clusters"
"269",4,"All clusters"
"270",8,"All clusters"
"271",2,"All clusters"
"272",2,"All clusters"
"273",3,"All clusters"
"274",2,"All clusters"
"275",2,"All clusters"
"276",3,"All clusters"
"277",3,"All clusters"
"278",2,"All clusters"
"279",4,"All clusters"
"280",3,"All clusters"
"281",2,"All clusters"
"282",4,"All clusters"
"283",4,"All clusters"
"284",3,"All clusters"
"285",2,"All clusters"
"286",3,"All clusters"
"287",2,"All clusters"
"288",2,"All clusters"
"289",3,"All clusters"
"290",2,"All clusters"
"291",4,"All clusters"
"292",3,"All clusters"
"293",2,"All clusters"
"294",2,"All clusters"
"295",2,"All clusters"
"296",2,"All clusters"
"297",2,"All clusters"
"298",2,"All clusters"
"299",2,"All clusters"
"300",2,"All clusters"
"301",2,"All clusters"
"302",2,"All clusters"
"303",2,"All clusters"
"304",2,"All clusters"
"305",5,"All clusters"
"306",2,"All clusters"
"307",5,"All clusters"
"308",2,"All clusters"
"309",2,"All clusters"
"310",2,"All clusters"
"311",4,"All clusters"
"312",4,"All clusters"
"313",2,"All clusters"
"314",2,"All clusters"
"315",2,"All clusters"
"316",4,"All clusters"
"317",4,"All clusters"
"318",2,"All clusters"
"319",2,"All clusters"
"320",4,"All clusters"
"321",3,"All clusters"
"322",3,"All clusters"
"323",8,"All clusters"
"324",4,"All clusters"
"325",6,"All clusters"
"326",4,"All clusters"
"327",4,"All clusters"
"328",4,"All clusters"
"329",2,"All clusters"
"330",2,"All clusters"
"331",2,"All clusters"
"332",3,"All clusters"
"333",2,"All clusters"
"334",4,"All clusters"
"335",2,"All clusters"
"336",5,"All clusters"
"337",2,"All clusters"
"338",3,"All clusters"
"339",2,"All clusters"
"340",5,"All clusters"
"341",2,"All clusters"
"342",6,"All clusters"
"343",4,"All clusters"
"344",9,"All clusters"
"345",3,"All clusters"
"346",2,"All clusters"
"347",2,"All clusters"
"348",2,"All clusters"
"349",3,"All clusters"
"350",2,"All clusters"
"351",2,"All clusters"
"352",2,"All clusters"
"353",2,"All clusters"
"354",2,"All clusters"
"355",4,"All clusters"
"356",2,"All clusters"
"357",2,"All clusters"
"358",4,"All clusters"
"359",2,"All clusters"
"360",5,"All clusters"
"361",8,"All clusters"
"362",2,"All clusters"
"363",2,"All clusters"
"364",4,"All clusters"
"365",3,"All clusters"
"366",2,"All clusters"
"367",2,"All clusters"
"368",2,"All clusters"
"369",2,"All clusters"
"370",4,"All clusters"
"371",2,"All clusters"
"372",2,"All clusters"
"373",2,"All clusters"
"374",3,"All clusters"
"375",2,"All clusters"
"376",2,"All clusters"
"377",2,"All clusters"
"378",2,"All clusters"
"379",2,"All clusters"
"380",6,"All clusters"
"381",2,"All clusters"
"382",2,"All clusters"
"383",2,"All clusters"
"384",3,"All clusters"
"385",3,"All clusters"
"386",2,"All clusters"
"387",2,"All clusters"
"388",4,"All clusters"
"389",4,"All clusters"
"390",2,"All clusters"
"391",3,"All clusters"
"392",3,"All clusters"
"393",3,"All clusters"
"394",9,"All clusters"
"395",2,"All clusters"
"396",2,"All clusters"
"397",4,"All clusters"
"398",2,"All clusters"
"399",4,"All clusters"
"400",3,"All clusters"
"401",2,"All clusters"
"402",2,"All clusters"
"403",3,"All clusters"
"404",3,"All clusters"
"405",2,"All clusters"
"406",4,"All clusters"
"407",2,"All clusters"
"408",4,"All clusters"
"409",4,"All clusters"
"410",6,"All clusters"
"411",2,"All clusters"
"412",3,"All clusters"
"413",3,"All clusters"
"414",5,"All clusters"
"415",4,"All clusters"
"416",2,"All clusters"
"417",3,"All clusters"
"418",5,"All clusters"
"419",5,"All clusters"
"420",4,"All clusters"
"421",2,"All clusters"
"422",2,"All clusters"
"423",2,"All clusters"
"424",3,"All clusters"
"425",2,"All clusters"
"426",4,"All clusters"
"427",2,"All clusters"
"428",6,"All clusters"
"429",2,"All clusters"
"430",4,"All clusters"
"431",6,"All clusters"
"432",3,"All clusters"
"433",3,"All clusters"
"434",3,"All clusters"
"435",3,"All clusters"
"436",2,"All clusters"
"437",4,"All clusters"
"438",5,"All clusters"
"439",3,"All clusters"
"440",4,"All clusters"
"441",2,"All clusters"
"442",2,"All clusters"
"443",2,"All clusters"
"444",3,"All clusters"
"445",3,"All clusters"
"446",2,"All clusters"
"447",3,"All clusters"
"448",7,"All clusters"
"449",2,"All clusters"
"450",5,"All clusters"
"451",3,"All clusters"
"452",4,"All clusters"
"453",2,"All clusters"
"454",8,"All clusters"
"455",2,"All clusters"
"456",4,"All clusters"
"457",4,"All clusters"
"458",2,"All clusters"
"459",5,"All clusters"
"460",4,"All clusters"
"461",3,"All clusters"
"462",2,"All clusters"
"463",4,"All clusters"
"464",3,"All clusters"
"465",2,"All clusters"
"466",6,"All clusters"
"467",2,"All clusters"
"468",2,"All clusters"
"469",3,"All clusters"
"470",2,"All clusters"
"471",4,"All clusters"
"472",4,"All clusters"
"473",4,"All clusters"
"474",4,"All clusters"
"475",3,"All clusters"
"476",3,"All clusters"
"477",2,"All clusters"
"478",3,"All clusters"
"479",2,"All clusters"
"480",3,"All clusters"
"481",3,"All clusters"
"482",3,"All clusters"
"483",2,"All clusters"
"484",6,"All clusters"
"485",3,"All clusters"
"486",2,"All clusters"
"487",2,"All clusters"
"488",3,"All clusters"
"489",2,"All clusters"
"490",3,"All clusters"
"491",2,"All clusters"
"492",3,"All clusters"
"493",3,"All clusters"
"494",2,"All clusters"
"495",2,"All clusters"
"496",2,"All clusters"
"497",3,"All clusters"
"498",3,"All clusters"
"499",3,"All clusters"
"500",4,"All clusters"
